iter	RMSE
0	0.1805640292
1	0.1725138665
2	0.1677904025
3	0.1650079389
4	0.1631173505
5	0.1617870296
6	0.1606762639
7	0.1600323569
8	0.1591724309
9	0.1585852717
10	0.1581084822
11	0.1574502069
12	0.1570959195
13	0.1567223511
14	0.1564144248
15	0.1560865317
16	0.1558154341
17	0.1554940182
18	0.155294655
19	0.1550925868
20	0.1548611831
21	0.1546904227
22	0.1544827548
23	0.1543493846
24	0.1541849741
25	0.1540462343
26	0.1539112825
27	0.153784255
28	0.1536863736
29	0.1535723773
30	0.1534362288
31	0.1533244835
32	0.1532224142
33	0.1531355562
34	0.1529743223
35	0.1528050863
36	0.1527370122
37	0.1526473049
38	0.1525687361
39	0.1524851698
40	0.1523861054
41	0.1523314779
42	0.1522613954
43	0.1521957363
44	0.1521087141
45	0.1520240952
46	0.1519598457
47	0.1518414016
48	0.1518018062
49	0.1517411789
50	0.1516759587
51	0.1515932575
52	0.1515106699
53	0.1514181744
54	0.1513403173
55	0.1512647103
56	0.1512038855
57	0.1511314659
58	0.1510437393
59	0.151004277
60	0.1509401959
61	0.1508984099
62	0.1508179356
63	0.1507417109
64	0.1506782046
65	0.1506140315
66	0.1505635311
67	0.1505043585
68	0.150479106
69	0.1504383625
70	0.1503674237
71	0.1503040691
72	0.1502686615
73	0.1502290223
74	0.1501918303
75	0.1501328546
76	0.1500755361
77	0.1500404478
78	0.1500052912
79	0.1499788076
80	0.1499454615
81	0.1499023503
82	0.1498643052
83	0.1498203449
84	0.1497915593
85	0.1497568266
86	0.1497270496
87	0.1496719419
88	0.14964703
89	0.1496159871
90	0.1495657455
91	0.1495189701
92	0.1494767184
93	0.1494526394
94	0.1494224348
95	0.14938299
96	0.1493578799
97	0.1493319337
98	0.1493090713
99	0.1492867165
100	0.1492570706
101	0.1491961001
102	0.1491297595
103	0.1490987575
104	0.1490508892
105	0.1490111037
106	0.1489797171
107	0.1489181924
108	0.1488709109
109	0.1488364015
110	0.1488146302
111	0.1487857775
112	0.1487633806
113	0.1487396406
114	0.1487219612
115	0.1486720621
116	0.148642809
117	0.148616128
118	0.1485958674
119	0.148573627
120	0.1485408025
121	0.1485222659
122	0.1484986642
123	0.1484684663
124	0.148441753
125	0.1484158385
126	0.1483957974
127	0.1483756245
128	0.1483541668
129	0.1483299187
130	0.1483177055
131	0.1482871112
132	0.1482575618
133	0.1482438702
134	0.1482185804
135	0.1481994972
136	0.1481830683
137	0.148147713
138	0.1481145365
139	0.1480908624
140	0.1480583098
141	0.1480418648
142	0.1480172814
143	0.1480002911
144	0.1479868074
145	0.1479621825
146	0.1479421057
147	0.1479206942
148	0.1479086372
149	0.1478946275
150	0.1478742606
151	0.14784874
152	0.1478267878
153	0.147795429
154	0.1477749674
155	0.1477476007
156	0.1477332595
157	0.1477093505
158	0.1476904817
159	0.1476727206
160	0.1476600337
161	0.1476402592
162	0.1476226905
163	0.1476038102
164	0.1475931182
165	0.1475746519
166	0.1475512979
167	0.1475296257
168	0.1475130194
169	0.1474996264
170	0.1474848053
171	0.147469347
172	0.1474507097
173	0.1474397501
174	0.1474235973
175	0.1474048775
176	0.1473812974
177	0.1473593734
178	0.1473457949
179	0.1473264591
180	0.1473055393
181	0.1472915566
182	0.1472784413
183	0.1472641719
184	0.147240193
185	0.1472224924
186	0.1472123305
187	0.147197724
188	0.1471863483
189	0.1471770944
190	0.1471618387
191	0.1471418329
192	0.1471257166
193	0.1471096228
194	0.1470962964
195	0.1470838591
196	0.1470546674
197	0.1470309394
198	0.1470157018
199	0.1470072115
200	0.1469956612
201	0.1469839761
202	0.1469707494
203	0.1469542711
204	0.14693253
205	0.1469191246
206	0.1468912471
207	0.146874746
208	0.146860864
209	0.1468423216
210	0.1468208238
211	0.1468090556
212	0.1467947947
213	0.1467831804
214	0.1467723775
215	0.1467498947
216	0.1467370373
217	0.1467273503
218	0.1467184264
219	0.1466996562
220	0.1466798745
221	0.146662385
222	0.1466520186
223	0.1466393286
224	0.1466289395
225	0.1466167997
226	0.1466059506
227	0.1465850539
228	0.1465735096
229	0.1465622888
230	0.1465560175
231	0.1465388428
232	0.1465316609
233	0.1465190402
234	0.1465045691
235	0.1464927274
236	0.1464795107
237	0.1464634089
238	0.1464570993
239	0.1464451397
240	0.1464322225
241	0.1464113082
242	0.1463996743
243	0.1463909819
244	0.146380867
245	0.1463643865
246	0.1463442572
247	0.146332082
248	0.1463215443
249	0.1463102782
250	0.1462988061
251	0.1462848166
252	0.1462743941
253	0.1462598235
254	0.1462518619
255	0.1462289611
256	0.1462205152
257	0.1462091923
258	0.1461931982
259	0.1461790809
260	0.1461734354
261	0.1461619258
262	0.1461460957
263	0.1461344386
264	0.1461265143
265	0.1461169076
266	0.1461059078
267	0.1461020093
268	0.146089292
269	0.146074785
270	0.1460627375
271	0.1460425107
272	0.1460326368
273	0.1460204211
274	0.1460120958
275	0.1459907456
276	0.1459723907
277	0.1459606292
278	0.1459490994
279	0.1459316106
280	0.1459184183
281	0.1459065632
282	0.1458919708
283	0.1458813266
284	0.1458641502
285	0.1458518239
286	0.1458379145
287	0.1458221726
288	0.1458176102
289	0.1458076972
290	0.1457951898
291	0.1457789637
292	0.1457701868
293	0.1457562045
294	0.1457495035
295	0.1457416901
296	0.1457355348
297	0.1457193629
298	0.1457065031
299	0.1456980811
300	0.14568858
301	0.1456830856
302	0.1456608554
303	0.1456541643
304	0.1456363033
305	0.1456230873
306	0.1456137171
307	0.1456021649
308	0.1455849269
309	0.145568678
310	0.145560849
311	0.1455460871
312	0.1455389676
313	0.1455226795
314	0.1455163262
315	0.1455021006
316	0.1454941181
317	0.1454816961
318	0.1454651191
319	0.1454575755
320	0.1454480887
321	0.1454345188
322	0.1454158801
323	0.1454086523
324	0.1454002472
325	0.1453843752
326	0.1453723095
327	0.1453647021
328	0.1453557557
329	0.1453494997
330	0.145336983
331	0.1453284073
332	0.1453151416
333	0.1453013065
334	0.1452913671
335	0.1452787934
336	0.1452598549
337	0.1452521087
338	0.145245643
339	0.1452309037
340	0.1452228071
341	0.1452136874
342	0.1452074779
343	0.1451990243
344	0.1451910984
345	0.1451792182
346	0.1451639754
347	0.1451572174
348	0.1451485432
349	0.1451408594
350	0.1451379145
351	0.1451255873
352	0.1451076743
353	0.1450993805
354	0.1450839219
355	0.1450782482
356	0.1450687135
357	0.1450553706
358	0.1450458918
359	0.1450389662
360	0.1450362676
361	0.1450185585
362	0.145006747
363	0.1450000915
364	0.1449813196
365	0.1449741873
366	0.1449625918
367	0.1449573437
368	0.1449421793
369	0.1449356107
370	0.1449291068
371	0.1449219558
372	0.1449153153
373	0.1449073055
374	0.1448996953
375	0.1448891597
376	0.1448785948
377	0.1448723461
378	0.1448654352
379	0.1448565409
380	0.1448514232
381	0.1448409345
382	0.1448288256
383	0.1448180222
384	0.1448042263
385	0.1447895693
386	0.1447802337
387	0.1447715233
388	0.1447614683
389	0.1447544483
390	0.1447474497
391	0.1447371174
392	0.1447272145
393	0.1447158287
394	0.1447027462
395	0.1446936596
396	0.1446824671
397	0.1446690895
398	0.1446609938
399	0.14465258
400	0.1446460217
401	0.1446348949
402	0.1446245659
403	0.1446155646
404	0.1446073549
405	0.1446030529
406	0.1445969962
407	0.1445891841
408	0.1445843003
409	0.1445759626
410	0.1445663841
411	0.1445581823
412	0.1445460547
413	0.1445376583
414	0.1445311718
415	0.1445271829
416	0.1445190819
417	0.1445078629
418	0.1444994817
419	0.1444945569
420	0.144485365
421	0.144470061
422	0.1444660933
423	0.1444535612
424	0.1444451166
425	0.14443599
426	0.1444252912
427	0.1444188753
428	0.1444120126
429	0.1444077787
430	0.1443988647
431	0.1443921676
432	0.1443778971
433	0.1443701316
434	0.1443606458
435	0.144347334
436	0.1443434259
437	0.1443359679
438	0.14432547
439	0.1443185703
440	0.1443099718
441	0.1443056109
442	0.1443010108
443	0.1442940912
444	0.1442895627
445	0.1442813021
446	0.1442725628
447	0.1442625351
448	0.1442555386
449	0.1442495936
450	0.1442438073
451	0.1442328856
452	0.1442274189
453	0.1442202701
454	0.1442119983
455	0.1442031879
456	0.1441986669
457	0.1441890393
458	0.1441833146
459	0.1441779092
460	0.1441663011
461	0.1441613319
462	0.1441443198
463	0.1441377664
464	0.1441357707
465	0.1441265315
466	0.1441225821
467	0.1441133798
468	0.144105052
469	0.1440937206
470	0.1440852175
471	0.1440783495
472	0.1440699351
473	0.1440652339
474	0.1440613787
475	0.1440568357
476	0.1440524928
477	0.1440413162
478	0.1440338468
479	0.1440281312
480	0.1440214794
481	0.1440113277
482	0.1440041598
483	0.1439985499
484	0.1439963477
485	0.143990669
486	0.1439871285
487	0.1439768393
488	0.1439734965
489	0.1439698789
490	0.1439600565
491	0.1439571327
492	0.1439538448
493	0.1439495916
494	0.1439429258
495	0.1439256726
496	0.1439231535
497	0.143918902
498	0.143912659
499	0.1439072767
500	0.1438997564
501	0.1438973813
502	0.1438904578
503	0.1438834619
504	0.1438800793
505	0.1438764193
506	0.143869944
507	0.1438619468
508	0.1438577423
509	0.1438528979
510	0.1438395303
511	0.1438347077
512	0.1438294783
513	0.1438245046
514	0.1438183675
515	0.1438134176
516	0.1438078133
517	0.1437979859
518	0.1437926374
519	0.1437799947
520	0.1437735209
521	0.1437698827
522	0.143764364
523	0.1437600579
524	0.1437524462
525	0.1437456225
526	0.1437427188
527	0.1437353913
528	0.1437296007
529	0.1437229056
530	0.1437154491
531	0.1437102027
532	0.1437057338
533	0.1436990104
534	0.1436858828
535	0.1436822179
536	0.1436704604
537	0.1436651529
538	0.1436562415
539	0.1436494568
540	0.1436431312
541	0.1436301936
542	0.1436260637
543	0.1436195715
544	0.1436159027
545	0.1436084185
546	0.1435985041
547	0.1435920586
548	0.1435807418
549	0.1435711776
550	0.1435619794
551	0.1435560715
552	0.1435490831
553	0.1435362834
554	0.1435300669
555	0.1435217672
556	0.1435112763
557	0.1435066023
558	0.1434997889
559	0.1434902688
560	0.1434856931
561	0.1434829364
562	0.1434787776
563	0.1434770101
564	0.1434692866
565	0.1434662636
566	0.1434607598
567	0.143454925
568	0.1434493785
569	0.1434411653
570	0.1434319644
571	0.1434296802
572	0.1434248901
573	0.1434207677
574	0.1434182995
575	0.1434088149
576	0.1434021587
577	0.1433977517
578	0.1433907836
579	0.143383845
580	0.14337839
581	0.14337023
582	0.1433669296
583	0.1433602433
584	0.1433533314
585	0.1433439825
586	0.1433292744
587	0.1433164904
588	0.1433131809
589	0.1433051704
590	0.1432979986
591	0.1432947445
592	0.143288457
593	0.1432784041
594	0.1432721537
595	0.143268615
596	0.1432651017
597	0.143258927
598	0.1432540875
599	0.1432469532
600	0.1432416621
601	0.1432392325
602	0.1432333068
603	0.143230686
604	0.1432190152
605	0.1432131712
606	0.1432029635
607	0.1431988227
608	0.1431925122
609	0.1431837599
610	0.1431823455
611	0.1431780848
612	0.1431740082
613	0.1431706732
614	0.1431688745
615	0.1431623663
616	0.1431544136
617	0.1431505688
618	0.1431453892
619	0.1431393453
620	0.1431362959
621	0.1431257846
622	0.1431191864
623	0.1431128779
624	0.1431045166
625	0.1430933821
626	0.1430879048
627	0.1430855356
628	0.143078581
629	0.1430755686
630	0.1430666774
631	0.1430613621
632	0.1430534718
633	0.1430478342
634	0.1430450912
635	0.1430438001
636	0.1430363977
637	0.1430302432
638	0.1430267151
639	0.1430172451
640	0.1430139616
641	0.1430115264
642	0.1430069547
643	0.142999483
644	0.142994139
645	0.1429886107
646	0.1429834566
647	0.142976517
648	0.1429717662
649	0.142961471
650	0.1429562775
651	0.142950013
652	0.1429470578
653	0.1429438431
654	0.1429309012
655	0.1429266194
656	0.1429208245
657	0.1429118727
658	0.1429097641
659	0.1429041452
660	0.1429013773
661	0.1428947089
662	0.1428911849
663	0.1428881532
664	0.142884682
665	0.1428794577
666	0.142870066
667	0.1428654775
668	0.1428600663
669	0.1428581955
670	0.1428560402
671	0.1428525492
672	0.1428449554
673	0.1428385075
674	0.1428317625
675	0.1428269314
676	0.1428206067
677	0.1428116938
678	0.1428052123
679	0.1427991391
680	0.1427872188
681	0.1427849195
682	0.1427756201
683	0.1427704156
684	0.142765644
685	0.1427627665
686	0.1427608564
687	0.1427571977
688	0.1427532646
689	0.1427476172
690	0.1427422949
691	0.142734046
692	0.1427296432
693	0.142727694
694	0.1427227788
695	0.1427117449
696	0.1427099708
697	0.1427042595
698	0.1427014657
699	0.1426925918
700	0.142691529
701	0.1426861826
702	0.1426796252
703	0.1426752524
704	0.1426717744
705	0.1426669072
706	0.1426560051
707	0.1426536002
708	0.1426485471
709	0.1426372801
710	0.1426332765
711	0.1426261031
712	0.1426194449
713	0.1426166793
714	0.1426144402
715	0.1426087218
716	0.1426048193
717	0.1426002633
718	0.1425936945
719	0.1425894262
720	0.1425876458
721	0.1425827693
722	0.1425745013
723	0.1425698641
724	0.1425660679
725	0.1425624491
726	0.1425547967
727	0.1425482837
728	0.1425438434
729	0.1425400684
730	0.1425348282
731	0.1425303924
732	0.142525826
733	0.1425218334
734	0.1425133212
735	0.1425098884
736	0.1425056803
737	0.1424992048
738	0.1424896098
739	0.1424864114
740	0.1424830589
741	0.1424762478
742	0.1424733854
743	0.1424641976
